X_start,y_start,X_autograd,y_autograd,X_new,y_new,X_gd_cd,y_gd_cd,X_ga,y_ga
[-5. -5.],39.86478701921984,[-4.86264944 -4.86264944],38.563417284209585,[-0.00853792  0.00017481],7.292663876085688e-05,[-4.86264097 -4.86264097],38.56341728090442,[-0.02299145  0.0044252 ],0.0005481892349815029
[-5. -4.],30.796953570542897,[-4.86887932 -3.89877248],29.782901571148383,[-0.00894266  0.00078582],8.058866089540113e-05,[-4.86887261 -3.89876971],29.782901569662904,[-0.04450301 -0.00602399],0.0020168064835311395
[-5. -3.],23.864787019219836,[-4.87145662 -2.94046736],23.07729619619242,[-0.00959867  0.00210359],9.655952786088377e-05,[-4.87145059 -2.94046607],23.07729619501749,[ 0.02047807 -0.00987965],0.000516958937961977
[-5. -2.],28.932166509822224,[-8.04596953e-03 -3.23196887e-30],6.473762569281574e-05,[-0.01035349  0.00457569],0.00012813166164151737,[-0.00982762 -0.00396451],0.00011229940252260035,[-0.06152146  0.00340874],0.0037965093288698727
[-5. -1.],25.999999979249584,[-8.03814176e-03  2.31214247e-43],6.461172302942107e-05,[-0.01051091  0.00688228],0.00015784495402505218,[-0.01039178 -0.00207836],0.00011230862015118633,[-0.03697126  0.10831059],0.01309805760381861
[-5.  0.],25.0,[-8.03814176e-03 -9.65158051e-08],6.461172303873637e-05,[-0.01018098  0.00905279],0.00018560551256360802,[-0.01058071  0.        ],0.0001119515236285735,[-0.06907166  0.01104197],0.004892818709563184
[-5.  1.],25.999999979249584,[-8.03814176e-03 -2.31214247e-43],6.461172302942107e-05,[-0.00948638  0.01098883],0.0002107458207985315,[-0.01039178  0.00207836],0.00011230862015118633,[0.01020315 0.04282622],0.001938189312916274
[-5.  2.],28.932166509822224,[-8.04596953e-03  3.23196887e-30],6.473762569281574e-05,[-0.00850288  0.01266283],0.0002326463647133864,[-0.00982762  0.00396451],0.00011229940252260035,[-0.08316162  0.04496443],0.00893765422759563
[-5.  3.],23.86478701921984,[-4.87145662  2.94046736],23.07729619619242,[-0.00695634  0.01442058],0.00025634372603237286,[-4.87145059  2.94046607],23.07729619501748,[-0.04894492  0.02232631],0.0028940692285215125
[-5.  4.],30.796953570542897,[-4.86887932  3.89877248],29.782901571148383,[-0.00636672  0.01490576],0.0002627166776540947,[-4.86887261  3.89876971],29.782901569662904,[-0.01209873 -0.04875971],0.0025238889731465457
[-5.  5.],39.86478701921983,[-4.86264944  4.86264944],38.563417284209585,[-0.00620096  0.01502977],0.0002643459419988593,[-4.86264097  4.86264097],38.56341728090442,[-0.07031584 -0.04121187],0.006642736175131935
[-4. -5.],30.796953570542893,[-3.89877248 -4.86887932],29.782901571148383,[-0.00801975 -0.00049303],6.455940073165876e-05,[-3.89876971 -4.86887261],29.782901569662904,[0.10128997 0.05341612],0.013112940263509303
[-4. -4.],21.728666122846086,[-3.90257311 -3.90257311],20.99097456517562,[-8.46088703e-03  8.50356155e-05],7.159384043981585e-05,[-3.9025716 -3.9025716],20.99097456502662,[-0.03282648  0.03034349],0.0019983049161185476
[-4. -3.],14.796953570542893,[-3.9041481  -2.94261003],14.280575255827058,[-0.00913915  0.00112645],8.479303895007225e-05,[-3.90414716 -2.94260905],14.280575255755515,[-0.02589028 -0.04747122],0.0029238238131583365
[-4. -2.],19.9317125105246,[-7.98392761e-03 -1.02979576e-13],6.374310016135035e-05,[-0.01013269  0.00354461],0.0001152356530962016,[-0.00945304 -0.00476756],0.00011208951049773986,[-0.00714343  0.02819732],0.000846117567982829
[-4. -1.],16.999999979110704,[-7.98363890e-03  2.31214247e-43],6.373849016525022e-05,[-0.01049804  0.00631571],0.00015009699902064405,[-0.0102788 -0.0025697],0.00011225712416001732,[0.00068958 0.01081432],0.00011742496284093721
[-4.  0.],16.0,[-7.98363890e-03 -1.26029397e-06],6.373849175359111e-05,[-0.01017319  0.00905245],0.0001854405275407545,[-0.01059216  0.        ],0.00011219376806353328,[-0.06264323 -0.04304829],0.005777329673485906
[-4.  1.],16.999999979110704,[-7.98363890e-03 -2.31214247e-43],6.373849016525022e-05,[-0.00927372  0.01142706],0.0002165796102290148,[-0.0102788  0.0025697],0.00011225712416001732,[-0.0219485  -0.01259465],0.0006403619380647177
[-4.  2.],19.9317125105246,[-7.98392761e-03  1.02979576e-13],6.374310016135035e-05,[-0.00801319  0.01332188],0.00024168367738076937,[-0.00945304  0.00476756],0.00011208951049773986,[-0.02954503  0.00674011],0.0009183375863336811
[-4.  3.],14.796953570542893,[-3.9041481   2.94261003],14.280575255827058,[-0.00660636  0.01471475],0.0002601678927323978,[-3.90414716  2.94260905],14.280575255755517,[0.006533   0.00763591],0.00010098717727643709
[-4.  4.],21.728666122846086,[-3.90257311  3.90257311],20.99097456517562,[-0.00613914  0.01508654],0.0002652927815295998,[-3.9025716  3.9025716],20.99097456502662,[0.00038659 0.0275139 ],0.0007571638884057534
[-4.  5.],30.796953570542893,[-3.89877248  4.86887932],29.782901571148383,[-0.00598283  0.01520085],0.0002668602018988779,[-3.89876971  4.86887261],29.782901569662904,[-0.01880531  0.01103837],0.0004754853251561964
[-3. -5.],23.864787019219836,[-2.94046736 -4.87145662],23.077296196192425,[-0.00692048 -0.00165781],5.0641433770454064e-05,[-2.94046607 -4.87145059],23.07729619501748,[ 0.01754837 -0.00880798],0.00038552575474655096
[-3. -4.],14.796953570542891,[-2.94261026 -3.9041481 ],14.280575255849735,[-0.0075627  -0.00101098],5.821655671571602e-05,[-2.94260905 -3.90414716],14.280575255755517,[-0.02267859 -0.01920274],0.0008830633889681948
